keyword,score
knife,0.022756486106916128
knives,0.020761038066081813
sharp,0.017212778670680995
great,0.010760690232022741
good,0.008122282541705434
quality,0.007989631907032587
well,0.006272844578193918
nice,0.0058338120517980475
love,0.005824042019997917
kitchen,0.004982786703715838
like,0.004978207330558278
price,0.004934872248732198
blade,0.004264560740174258
